Symbol,ALF,ALF,ALF,average,healthy,healthy,count,t-test,fold change
LMBRD2,12.438614,17.36191867,34.21701033,21.339181,196.968009,191.688253,194.328131,0.000282,0.109810046
RNF103,50.0088985,37.5180225,91.2259405,59.58428717,506.5267465,535.5433185,521.0350325,0.000291,0.114357545
HSPE1,92.531771,183.753677,200.456892,158.9141133,1490.904823,1645.239314,1568.072069,0.000291,0.101343629
LINC00493,43.017831,88.809067,107.362375,79.72975767,562.430411,559.803176,561.1167935,0.000295,0.142091198
AKAP11,31.2819415,27.6718465,27.611563,28.855117,147.6254075,132.837239,140.2313233,0.000297,0.205767986
BCAS2,110.415634,147.256403,129.491566,129.0545343,395.571346,396.478277,396.0248115,0.000298,0.325874871
PKM,81.4979175,74.2853515,78.1469305,77.97673317,26.1585165,25.875237,26.01687675,0.000304,2.997159648
FBXW12,668.5714325,670.015806,621.1614065,653.2495483,226.5767495,201.2724715,213.9246105,0.000304,3.053643743
MTFR1,26.927127,36.51790067,49.52292233,37.65598333,199.8715317,201.069203,200.4703673,0.000307,0.187838152
LOC101928198,23.869347,15.1671296,16.4598782,18.49878493,189.7211516,213.5407202,201.6309359,0.000309,0.0917457673
ABCC2,33.898814,21.343129,81.169822,45.47058833,614.874449,571.405207,593.139828,0.00031,0.0766608246
USP8,78.6740885,100.5685315,87.0621615,88.7682605,249.4244005,255.8430515,252.633726,0.000313,0.351371378
PEX3,18.77472833,28.45916667,41.83626267,29.69005256,213.1971303,203.073198,208.1351642,0.000321,0.142647941
MRPL21,115.46613,133.210182,123.91359,124.196634,343.004306,370.778427,356.8913665,0.000321,0.347995625
LOC100507472,65.899733,25.7068815,28.785743,40.13078583,371.8944815,390.398374,381.1464278,0.000323,0.105289681
N4BP2,42.9021965,27.842423,40.049233,36.93128417,149.195809,152.2118325,150.7038208,0.000331,0.245058712
TRUB1,17.2242274,22.8515066,20.119593,20.065109,60.5423238,59.4522734,59.9972986,0.000334,0.334433541
